Date,Sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2020-04-23 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-23 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-23 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-23 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-23 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-23 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-24 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-27 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-28 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-29 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Energy,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Financials,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Materials,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-04-30 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Energy,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Financials,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Materials,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-05-01 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Energy,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Financials,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Materials,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-05-04 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Energy,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Financials,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Materials,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-05-05 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Energy,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Financials,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Materials,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-05-06 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Energy,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Financials,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Materials,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-05-07 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Energy,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Financials,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Materials,,,,,,,,,,,
2020-05-08 00:00:00-04:00,Real Estate,,,,,,,,,,,
